#Day,Creative ID,Country,Bids,Bids in auction,Reached queries
12/1/25,129799,Philippines,8,3,3
12/1/25,129800,Philippines,6,5,2
12/1/25,131011,Canada,14816,11245,806
12/1/25,131012,Canada,14695,11212,775
12/1/25,131013,Canada,14733,11197,777
12/1/25,131014,Canada,14509,11045,740
12/1/25,131015,Canada,14545,10967,803
12/1/25,131018,United States,4466,4093,3047
12/1/25,131023,India,3306,3040,1566
12/1/25,131024,India,3427,2995,1679
12/1/25,131025,India,3312,2938,1560
12/1/25,131026,India,3466,3036,1669
12/1/25,131027,South Korea,798,708,207
12/1/25,131028,South Korea,750,627,159
12/1/25,131029,South Korea,793,704,201
12/1/25,131030,South Korea,759,657,182
12/1/25,131086,Japan,6806,6295,906
12/1/25,131087,Japan,6791,6285,891
12/1/25,131088,Japan,6627,6105,717
12/1/25,131089,Japan,6604,6023,738
12/1/25,131189,United States,46941,36451,3146
12/1/25,131191,United States,47081,36642,3184
12/1/25,131192,United States,107453,82663,5390
12/1/25,131193,United States,107657,80307,5373
12/1/25,131197,Australia,2826,2533,117
12/1/25,131198,Australia,2859,2571,130
12/1/25,131199,Australia,2879,2597,142
12/1/25,131200,Australia,2989,2685,135
12/1/25,131201,Australia,2909,2569,132
12/1/25,131202,Australia,2934,2631,114
12/1/25,132554,Philippines,7,7,9
12/1/25,132555,Philippines,13,6,6
12/1/25,132556,Philippines,12,6,5
12/1/25,140781,United States,4524,3430,2537
12/1/25,140782,United States,4401,3591,2601
12/1/25,140783,United States,4600,3423,2491
12/1/25,140784,United States,4544,3264,2446
12/1/25,140785,United States,4563,3902,2924
12/1/25,140786,United States,4573,3722,2755
12/1/25,140787,United States,4470,3194,2381
12/1/25,140788,United States,4543,3771,2864
12/1/25,140789,United States,4485,3745,2780
12/1/25,140790,United States,4616,3389,2460
12/1/25,140806,United States,46520,35777,2948
12/1/25,140807,United States,46265,35968,3107
12/1/25,140808,United States,46638,35293,3202
12/1/25,140809,United States,46981,36300,3150
12/1/25,140810,United States,46857,36015,3146
12/1/25,140811,United States,46552,35093,3066
12/1/25,140812,United States,46476,36008,3063
12/1/25,140813,United States,46719,35023,3085
12/1/25,140814,United States,46420,36780,3175
12/1/25,140815,United States,46240,35776,3031
12/1/25,141219,United States,59944,45724,6063
12/1/25,141220,United States,60177,45800,5963
12/1/25,141221,United States,59947,46043,6066
12/1/25,141222,United States,60095,46796,6507
12/1/25,141223,United States,60278,46876,5901
12/1/25,144596,India,10,0,0
12/1/25,144597,India,5,0,0
12/1/25,144598,India,4,0,0
12/1/25,144599,India,5,0,0
12/1/25,144600,India,2,0,0
12/1/25,144601,India,8,0,0
12/1/25,144602,India,7,0,0
12/1/25,144603,India,1,0,0
12/1/25,144604,India,1,0,0
12/1/25,144605,India,6,0,0
12/1/25,144606,India,6,0,0
12/1/25,144607,India,3,0,0
12/1/25,144608,India,1,0,0
